StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q16,Q17,Q18,Q2,Q14,Q3,Q4,Q13,Q5,Q6,Q7,Q8,Q9,Q10,Q15,Q11_1,Q11_2,Q11_3,Q19_1,Q19_2,Q19_3,Q12
9/9/24 9:46,9/9/24 9:48,IP Address,162.212.34.227,100,112,TRUE,9/9/24 9:48,R_5UVG8R2KE6idm4F,,,,,36.7405,-119.7508,anonymous,EN,Junior,3 Years,Yes,I live on campus,,,Yes,On campus,10,"Monday,Tuesday,Wednesday,Thursday,Friday",No,Yes,During the day,Definitely yes,I prefer completely asynchronous courses,1,4,10,9,10,6,
9/9/24 9:41,9/9/24 9:51,IP Address,204.110.45.254,100,596,TRUE,9/9/24 9:51,R_1wzSH3o2L9eIbuj,,,,,36.842,-119.6578,anonymous,EN,Junior,Less than a year,No,I commute to campus,I prefer Tuesday/Thursday classes,25-30,Yes,Off campus,28,"Monday,Tuesday,Wednesday,Thursday,Friday",No,No,No preference,Might or might not,I prefer a zoom component,2,5,10,5,0,10,I feel I learn and engage more with in-person classes than any other type. Hybrid classes (depending on the class) are good but not as preferred.
9/9/24 9:45,9/9/24 9:51,IP Address,166.205.87.124,100,369,TRUE,9/9/24 9:51,R_6uUtx3d5CsLFIQX,,,,,37.7201,-122.4414,anonymous,EN,Freshman,Less than a year,Yes,I commute to campus,I prefer Tuesday/Thursday classes,20 minutes ,No,,,,No,Yes,During the day,Probably yes,I prefer a zoom component,2,1,4,10,7,10,I prefer to take in person and hybrid classes 
9/9/24 9:52,9/9/24 9:53,IP Address,162.212.34.219,100,38,TRUE,9/9/24 9:53,R_5sS8x7FASRgtsIE,,,,,36.7405,-119.7508,anonymous,EN,,,,,,,,,,,,,,,,,,,,,,
9/9/24 9:53,9/9/24 9:54,IP Address,98.242.27.151,100,71,TRUE,9/9/24 9:54,R_6Ccamw38lWRSBTb,,,,,36.7539,-119.7085,anonymous,EN,,,,,,,,,,,,,,,,,,,,,,
9/9/24 9:52,9/9/24 9:54,IP Address,73.66.46.72,100,83,TRUE,9/9/24 9:54,R_7QExG3faKRj7PxG,,,,,36.3287,-119.6474,anonymous,EN,,,,,,,,,,,,,,,,,,,,,,
9/9/24 9:51,9/9/24 9:55,IP Address,174.236.225.173,100,227,TRUE,9/9/24 9:55,R_6rkNa5MfhZk92gL,,,,,38.5347,-121.4442,anonymous,EN,Senior,4 Years,No,I commute to campus,I prefer Tuesday/Thursday classes,40,Yes,Off campus,16,"Sunday,Saturday",No,Yes,No preference,Probably yes,I prefer completely asynchronous courses,0,7,10,6,6,6,
9/9/24 9:44,9/9/24 9:57,IP Address,174.219.194.111,100,788,TRUE,9/9/24 9:57,R_6rDQSqJLzJGeXZf,,,,,38.5092,-121.4956,anonymous,EN,Sophmore,2 Years,Yes,I commute to campus,"No preference, both work for me",60,Yes,Off campus,3,Saturday,No,Yes,During the day,Might or might not,I prefer a zoom component,0,0,10,,,10,I learn better sitting inside a physical classroom. I get distracted easily if I’m in an online course.
9/9/24 9:54,9/9/24 9:57,IP Address,73.116.172.143,100,189,TRUE,9/9/24 9:57,R_1Uj1V1o0WlvQctH,,,,,36.2017,-119.3402,anonymous,EN,Senior,4 Years,Yes,I commute to campus,"No preference, both work for me",57,No,,,,No,Yes,During the day,Definitely yes,I prefer completely asynchronous courses,0,3,10,10,10,7,Less driving and gas. 
9/9/24 9:56,9/9/24 9:58,IP Address,107.19.32.182,100,123,TRUE,9/9/24 9:58,R_18HgJQC1MRXDvOm,,,,,36.5346,-119.3909,anonymous,EN,Senior,2 Years,Yes,I commute to campus,I prefer Tuesday/Thursday classes,25 min ,Yes,Off campus,40,"Sunday,Monday,Tuesday,Wednesday",No,Yes,During the day,Probably yes,I prefer a zoom component,1,4,10,3,6,10,
9/9/24 9:59,9/9/24 9:59,IP Address,162.212.34.232,100,27,TRUE,9/9/24 9:59,R_3H7za7CYZfUCxij,,,,,36.7405,-119.7508,anonymous,EN,,,,,,,,,,,,,,,,,,,,,,
9/9/24 9:59,9/9/24 10:02,IP Address,104.200.36.33,100,195,TRUE,9/9/24 10:02,R_1j8nr7gMOMYAYl9,,,,,36.9606,-120.0605,anonymous,EN,Freshman,Less than a year,Yes,I commute to campus,I prefer Tuesday/Thursday classes,70,Yes,Off campus,25,"Sunday,Tuesday,Thursday,Friday,Saturday",Yes,Yes,During the day,Definitely yes,I prefer completely asynchronous courses,3,10,10,10,6,8,I prefer hybrid because you don’t have to meet on zoom. In person is also great because you are face to af e and making sure you are understanding and can ask questions.
9/9/24 9:44,9/9/24 10:02,IP Address,172.59.49.123,100,1116,TRUE,9/9/24 10:02,R_1MCJFj0C4RglM0p,,,,,36.7539,-119.7085,anonymous,EN,Senior,3 Years,No,I live on campus,,,Yes,Off campus,35,"Monday,Tuesday,Wednesday,Friday,Saturday",No,Yes,During the day,Probably not,I prefer completely asynchronous courses,1,1,10,7,10,1,I feel like a lot of classes are a waste of time. Most of what we learn can be summed up in one powerpoint. It saves me time and allows me to work more and do homework when I can. 
9/9/24 10:01,9/9/24 10:03,IP Address,68.189.0.104,100,125,TRUE,9/9/24 10:03,R_1eKjuIa2Y2RheEx,,,,,37.5234,-120.8517,anonymous,EN,,,,,,,,,,,,,,,,,,,,,,
9/9/24 10:06,9/9/24 10:07,IP Address,162.212.34.235,100,40,TRUE,9/9/24 10:07,R_14CzodLPdHpJMhH,,,,,36.7405,-119.7508,anonymous,EN,,,,,,,,,,,,,,,,,,,,,,
9/9/24 10:08,9/9/24 10:10,IP Address,73.151.61.131,100,87,TRUE,9/9/24 10:10,R_67wwYWwy77LqsSd,,,,,36.7539,-119.7085,anonymous,EN,Junior,2 Years,No,I commute to campus,"No preference, both work for me",10,Yes,On campus,6,"Monday,Wednesday",No,No,During the day,Probably yes,I prefer a zoom component,0,2,10,7,3,7,
9/9/24 10:10,9/9/24 10:13,IP Address,162.212.34.216,100,187,TRUE,9/9/24 10:13,R_5ibzKY7lCJTwOoX,,,,,36.7405,-119.7508,anonymous,EN,Sophmore,2 Years,Yes,I live on campus,,,Yes,On campus,4 hours,"Monday,Wednesday",No,No,During the day,Probably yes,I prefer a zoom component,1,2,5,2,9,10,In person courses just help me better understand the material 
9/9/24 10:19,9/9/24 10:21,IP Address,162.212.34.231,100,133,TRUE,9/9/24 10:21,R_1iflr6bRYwdlJZd,,,,,36.7405,-119.7508,anonymous,EN,Sophmore,2 Years,No,I live on campus,,,No,,,,Yes,No,During the day,Probably yes,I prefer completely asynchronous courses,1,4,10,7,8,6,I like to work alone and go at my own pace so online courses are better sometimes. 
9/9/24 10:20,9/9/24 10:22,IP Address,162.212.34.209,100,121,TRUE,9/9/24 10:22,R_5tDtFv82fvnyyn7,,,,,36.7405,-119.7508,anonymous,EN,Freshman,Less than a year,Yes,I live on campus,,,Yes,Off campus,28,"Monday,Wednesday,Friday,Saturday",No,Yes,At night,Definitely yes,I prefer a zoom component,0,1,10,4,4,6,In person course is easier to learn from with hands on help 
9/9/24 10:58,9/9/24 11:01,IP Address,162.212.34.210,100,182,TRUE,9/9/24 11:01,R_5fJFyKDeEbsgzAA,,,,,36.7405,-119.7508,anonymous,EN,Freshman,Less than a year,No,I live on campus,,,No,,,,No,No,During the day,Might or might not,I prefer a zoom component,0,0,6,0,2,5,"I find it hard to take online course seriously, and often get distracted by other things I could be doing digitally. "
9/9/24 11:02,9/9/24 11:04,IP Address,162.212.34.222,100,154,TRUE,9/9/24 11:04,R_5xLTs0s3MPiazDE,,,,,36.7405,-119.7508,anonymous,EN,Senior,4 Years,No,I commute to campus,I prefer Monday/Wednesday/Friday classes,20,Yes,On campus,10,"Monday,Wednesday,Friday",No,Yes,During the day,Probably yes,I prefer completely asynchronous courses,,,10,3,1,8,
9/9/24 10:32,9/9/24 11:06,IP Address,162.212.34.237,100,2015,TRUE,9/9/24 11:06,R_1HQFPEYWNgXhwnn,,,,,36.7405,-119.7508,anonymous,EN,Freshman,Less than a year,No,I live on campus,,,No,,,,Yes,Yes,No preference,Definitely yes,I prefer completely asynchronous courses,0,1,4,10,10,10,I have no preference
9/9/24 11:05,9/9/24 11:07,IP Address,162.212.34.230,100,95,TRUE,9/9/24 11:07,R_5e35vlLMkv54Wef,,,,,36.7405,-119.7508,anonymous,EN,Junior,3 Years,Yes,I live on campus,,,Yes,On campus,10,"Tuesday,Thursday",No,No,During the day,Probably yes,I prefer completely asynchronous courses,1,2,10,7,5,7,
9/9/24 11:05,9/9/24 11:07,IP Address,162.212.34.215,100,153,TRUE,9/9/24 11:07,R_6pp6605szYO8mNX,,,,,36.7405,-119.7508,anonymous,EN,Sophmore,Less than a year,Yes,I live on campus,,,No,,,,Yes,Yes,During the day,Probably yes,I prefer a zoom component,0,2,10,0,9,9,"I prefer in person because I eellike I learn better, and it I easier to engage and ask questions."
9/9/24 11:05,9/9/24 11:08,IP Address,162.212.34.234,100,168,TRUE,9/9/24 11:08,R_33BFD1ETCmpdEgK,,,,,36.7405,-119.7508,anonymous,EN,Senior,4 Years,Yes,I live on campus,,,Yes,On campus,16.5,"Monday,Tuesday,Wednesday,Thursday",No,Yes,At night,Probably yes,I prefer completely asynchronous courses,2,2,10,6,6,10,I prefer in-person courses 
9/9/24 11:06,9/9/24 11:08,IP Address,162.212.34.210,100,124,TRUE,9/9/24 11:08,R_3gyO22rSPKQ0Ffb,,,,,36.7405,-119.7508,anonymous,EN,Junior,3 Years,No,I live on campus,,,Yes,On campus,6,"Wednesday,Thursday",Yes,Yes,No preference,Might or might not,I prefer completely asynchronous courses,,5,10,,10,8,I like asynchronous because it fits my schedule better.
9/9/24 11:04,9/9/24 11:08,IP Address,162.212.34.214,100,294,TRUE,9/9/24 11:08,R_1D5uK9er1uezsOl,,,,,36.7405,-119.7508,anonymous,EN,Junior,2 Years,Yes,I live on campus,,,No,,,,Yes,No,No preference,Probably not,I prefer completely asynchronous courses,0,1,10,1,1,8,I prefer in person classes because I don't get distracted as easily as I do when it's online. I feel like I learn better and get better grades when I'm in class compared to online. 
9/9/24 11:07,9/9/24 11:08,IP Address,162.212.34.238,100,117,TRUE,9/9/24 11:08,R_5P4PpEiGjObePk5,,,,,36.7405,-119.7508,anonymous,EN,Senior,4 Years,No,I commute to campus,I prefer Tuesday/Thursday classes,20,Yes,Off campus,30,"Monday,Tuesday,Wednesday,Thursday,Friday",No,Yes,During the day,Definitely yes,I prefer completely asynchronous courses,2,5,10,2,10,5,
9/9/24 11:07,9/9/24 11:09,IP Address,162.212.34.223,100,109,TRUE,9/9/24 11:09,R_12VcIdLR83P9dVS,,,,,36.7405,-119.7508,anonymous,EN,Sophmore,1 Year,No,I live on campus,,,No,,,,Yes,No,At night,Probably yes,I prefer completely asynchronous courses,0,4,10,10,10,0,"I can go at my own speed
"
9/9/24 11:06,9/9/24 11:09,IP Address,162.212.34.224,100,173,TRUE,9/9/24 11:09,R_3qX6DtcWT6vtWsJ,,,,,36.7405,-119.7508,anonymous,EN,Junior,2 Years,Yes,I live on campus,,,Yes,On campus,18,"Monday,Tuesday,Wednesday,Thursday",No,Yes,During the day,Probably yes,I prefer a zoom component,,2,10,7,3,9,Sometimes I. Person I learn more but I am still able to learn with online classes
9/9/24 11:05,9/9/24 11:09,IP Address,162.212.34.208,100,236,TRUE,9/9/24 11:09,R_39qOCrIJitZJ1jH,,,,,36.7405,-119.7508,anonymous,EN,Senior,4 Years,Yes,I live on campus,,,Yes,On campus,20,"Monday,Tuesday,Wednesday,Thursday,Friday",No,Yes,At night,Probably yes,I prefer a zoom component,5,3,10,5,,9,I prefer classes with in-person meetings because I find it much more convenient to engage with the content and ask questions when doing so in person.
9/9/24 11:05,9/9/24 11:09,IP Address,162.212.34.206,100,247,TRUE,9/9/24 11:09,R_1HcnJHkAt9NPtCg,,,,,36.7405,-119.7508,anonymous,EN,Sophmore,1 Year,No,I live on campus,,,Yes,On campus,20,"Monday,Tuesday,Wednesday,Thursday,Friday",Yes,Yes,During the day,Probably yes,I prefer completely asynchronous courses,1,3,10,3,5,8,
9/9/24 11:06,9/9/24 11:09,IP Address,162.212.34.210,100,195,TRUE,9/9/24 11:09,R_57Yzaq2bN14LHuV,,,,,36.7405,-119.7508,anonymous,EN,Sophmore,Less than a year,No,I live on campus,,,No,,,,Yes,No,No preference,Definitely yes,I prefer completely asynchronous courses,3,2,10,10,10,8,
9/9/24 11:05,9/9/24 11:09,IP Address,162.212.34.212,100,266,TRUE,9/9/24 11:09,R_3cu55s6yduwVc7W,,,,,36.7405,-119.7508,anonymous,EN,Junior,3 Years,Yes,I commute to campus,I prefer Tuesday/Thursday classes,40,Yes,Off campus,40,"Monday,Tuesday,Wednesday,Thursday,Friday,Saturday",No,Yes,No preference,Probably yes,I prefer completely asynchronous courses,0,3,10,7,3,10,"I'd rather have a mixture of online and in person courses, due to make academic performances and you pay a lot more attention in person "
9/9/24 11:06,9/9/24 11:09,IP Address,107.77.211.125,100,172,TRUE,9/9/24 11:09,R_60VheoaiHi86Wsh,,,,,37.8107,-122.2479,anonymous,EN,Junior,Less than a year,No,I commute to campus,I prefer Tuesday/Thursday classes,It takes me about 15-20 minutes ,No,,,,Yes,No,During the day,Definitely yes,I prefer completely asynchronous courses,5,9,10,7,6,9,I like in person classes to meet and see teachers and students. It helps you make friends and have a good campus life. But I also like online/hybrid classes since I am an athlete and commute it’s easy to just get in the computer and do the work. 
9/9/24 11:05,9/9/24 11:09,IP Address,162.212.34.229,100,246,TRUE,9/9/24 11:09,R_64MAYKSuURhm3Ge,,,,,36.7405,-119.7508,anonymous,EN,Sophmore,1 Year,No,I live on campus,,,Yes,On campus,1,Monday,Yes,No,During the day,Might or might not,I prefer completely asynchronous courses,0,2,10,6,7,9,I prefer in-person classes.
9/9/24 11:06,9/9/24 11:10,IP Address,162.212.34.237,100,263,TRUE,9/9/24 11:10,R_3lVgunIrXeGViF3,,,,,36.7405,-119.7508,anonymous,EN,Junior,Less than a year,No,I live on campus,,,No,,,,Yes,Yes,No preference,Might or might not,I prefer completely asynchronous courses,0,10,10,0,7,6,I like doing things at my own pace and learn at my own pace. 
9/9/24 11:06,9/9/24 11:10,IP Address,166.205.87.93,100,234,TRUE,9/9/24 11:10,R_5D0Q3suiHbOADeO,,,,,37.7201,-122.4414,anonymous,EN,Senior,3 Years,No,I commute to campus,"No preference, both work for me",20,No,,,,No,No,During the day,Probably yes,I prefer completely asynchronous courses,1,8,10,3,10,8,I prefer online and in person Because you can set up your own schedule without feeling overwhelmed
9/9/24 11:07,9/9/24 11:10,IP Address,162.212.34.226,100,166,TRUE,9/9/24 11:10,R_1OVIfzwOJiBizec,,,,,36.7405,-119.7508,anonymous,EN,Junior,3 Years,Yes,I live on campus,,,Yes,On campus,7,"Monday,Wednesday,Thursday",No,No,At night,Probably yes,I prefer a zoom component,1,1,10,6,3,8,In person learning helps me focus and keeps me accountable for my course work.
9/9/24 11:06,9/9/24 11:10,IP Address,162.212.34.232,100,227,TRUE,9/9/24 11:10,R_3r0t1dY8ZkJCn3R,,,,,36.7405,-119.7508,anonymous,EN,Junior,2 Years,Yes,I commute to campus,"No preference, both work for me",40,Yes,On campus,10,"Tuesday,Wednesday,Thursday",No,No,During the day,Probably yes,I prefer completely asynchronous courses,0,4,10,0,6,8,"I prefer in person courses for the engagement and in-person lectures since I retain information better that way. Plus it gives me a routine I can follow, which I appreciate. However, I also enjoy the flexibility of online courses, and sometimes it benefits me overall to enlist in some online courses."
9/9/24 11:06,9/9/24 11:11,IP Address,108.147.102.69,100,256,TRUE,9/9/24 11:11,R_3q8kw1j16S7OqEg,,,,,36.6847,-119.7306,anonymous,EN,Senior,More than 4 Years,Yes,I commute to campus,I prefer Tuesday/Thursday classes,30,Yes,Off campus,2,Saturday,No,No,No preference,Might or might not,I prefer a zoom component,5,6,10,5,7,8,I find it much easier to concentrate in person than online
9/9/24 11:05,9/9/24 11:11,IP Address,162.212.34.234,100,331,TRUE,9/9/24 11:11,R_1vuTCVJ1gn228Mx,,,,,36.7405,-119.7508,anonymous,EN,Senior,3 Years,No,I live on campus,,,No,,,,Yes,Yes,No preference,Definitely yes,I prefer completely asynchronous courses,7,9,3,6,9,3,"Being a student-athlete, it can sometimes be challenging to attend all in-person classes because we have to miss a lot for games, travel, etc. "
9/9/24 11:07,9/9/24 11:11,IP Address,162.212.34.214,100,256,TRUE,9/9/24 11:11,R_77KBOzVEUnGfBrs,,,,,36.7405,-119.7508,anonymous,EN,Junior,3 Years,No,I live on campus,,,No,,,,Yes,No,During the day,Definitely yes,I prefer completely asynchronous courses,1,4,10,8,10,7,
9/9/24 11:05,9/9/24 11:12,IP Address,162.212.34.214,100,408,TRUE,9/9/24 11:12,R_1QKuxxQSpCv7umr,,,,,36.7405,-119.7508,anonymous,EN,Junior,3 Years,Yes,I commute to campus,I prefer Tuesday/Thursday classes,30 Minutes,No,,,,No,No,No preference,Probably yes,I prefer completely asynchronous courses,0,0,10,5,10,10,Its depending on the courses. Some courses are just easier to be online or hybrid and some are better to be learning in person.
9/9/24 11:07,9/9/24 11:12,IP Address,172.226.3.154,100,265,TRUE,9/9/24 11:12,R_1pyhGoeVsxxMINj,,,,,36.7537,-119.7627,anonymous,EN,Junior,2 Years,No,I live on campus,,,Yes,On campus,15-20h,"Monday,Tuesday,Wednesday,Thursday,Friday,Saturday",Yes,No,During the day,Probably not,I prefer completely asynchronous courses,,2,10,,,10,I do not pay attention in online 
9/9/24 11:07,9/9/24 11:12,IP Address,162.212.34.212,100,280,TRUE,9/9/24 11:12,R_5YibLltSpxQwUeE,,,,,36.7405,-119.7508,anonymous,EN,Junior,3 Years,No,I live on campus,,,Yes,On campus,20,"Monday,Tuesday,Wednesday,Thursday,Friday",No,No,During the day,Probably yes,I prefer completely asynchronous courses,0,3,9,5,5,5,"I like to have a variety of classes, some in person and some online. "
9/9/24 11:04,9/9/24 11:12,IP Address,107.77.211.226,100,449,TRUE,9/9/24 11:12,R_6ePXLmDLMg3FJG8,,,,,37.8107,-122.2479,anonymous,EN,Junior,Less than a year,No,I commute to campus,I prefer Tuesday/Thursday classes,18,No,,,,Yes,No,During the day,Probably yes,I prefer completely asynchronous courses,4,6,5,6,8,5,"Being an athlete, online and hybrid courses are easier to maintain for me. I also like the in person for some courses that I struggle in., like math or accounting for example. "
9/9/24 11:07,9/9/24 11:12,IP Address,162.212.34.224,100,294,TRUE,9/9/24 11:12,R_3dxE2rpJytHY5ON,,,,,36.7405,-119.7508,anonymous,EN,Junior,3 Years,No,I live on campus,,,No,,,,Yes,No,During the day,Might or might not,I prefer completely asynchronous courses,1,3,10,3,10,4,Becuase online is more convenient and I can be anywhere doing my school work rather tha nhaving to be on campus
9/9/24 11:05,9/9/24 11:12,IP Address,162.212.34.223,100,454,TRUE,9/9/24 11:12,R_1OjmL7VETFjo4IS,,,,,36.7405,-119.7508,anonymous,EN,Junior,Less than a year,Yes,I live on campus,,,No,,,,Yes,No,During the day,Definitely yes,I prefer a zoom component,1,7,10,4,8,6,I prefer taking online classes because I am an athlete and it it very time consuming and exhausting going to many classes a day and not having time to eat and then just going straight to training. I like in person classes as well because I am able to understand more. 
9/9/24 11:08,9/9/24 11:12,IP Address,162.212.34.239,100,256,TRUE,9/9/24 11:12,R_55XA10EqrjR2DMp,,,,,36.7405,-119.7508,anonymous,EN,Senior,4 Years,No,I live on campus,,,No,,,,Yes,Yes,No preference,Probably yes,I prefer a zoom component,3,,10,5,,5,I prefer in person because it keeps me up to date with whats going on
9/9/24 11:06,9/9/24 11:12,IP Address,162.212.34.224,100,358,TRUE,9/9/24 11:12,R_3OPZuU7z6zwRZex,,,,,36.7405,-119.7508,anonymous,EN,Sophmore,1 Year,No,I commute to campus,"No preference, both work for me",25 minutes ,No,,,,Yes,Yes,During the day,Might or might not,I prefer completely asynchronous courses,1,1,10,8,8,9,"Online is nice sometimes because it can be more convenient for a commuter, depending on the time. "
9/9/24 11:08,9/9/24 11:13,IP Address,162.212.34.226,100,274,TRUE,9/9/24 11:13,R_6ikF2XHkEmRudIL,,,,,36.7405,-119.7508,anonymous,EN,Junior,3 Years,No,I commute to campus,"No preference, both work for me",13 minutes,No,,,,No,Yes,During the day,Definitely yes,I prefer completely asynchronous courses,2,5,10,6,2,10,
9/9/24 11:08,9/9/24 11:13,IP Address,162.212.34.213,100,299,TRUE,9/9/24 11:13,R_5dt9IOB03thUZFM,,,,,36.7405,-119.7508,anonymous,EN,Senior,2 Years,No,I live on campus,,,Yes,Off campus,16,"Sunday,Saturday",Yes,Yes,During the day,Definitely yes,I prefer a zoom component,1,6,10,10,9,10,I just enjoy having more time to do other things.
9/9/24 11:08,9/9/24 11:13,IP Address,162.212.34.214,100,336,TRUE,9/9/24 11:13,R_3fkihCRZrY22QPR,,,,,36.7405,-119.7508,anonymous,EN,Sophmore,1 Year,Yes,I live on campus,,,No,,,,No,No,During the day,Definitely yes,I prefer a zoom component,0,3,10,5,5,5,"I do not have a preference, I like going in-person and online."
